model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-8B,11,0.3142857142857143,0.03957741746890222,0.2148388939091075,0.21764289210594812,-0.09145414598693824,0.02653474677919665,0.12085647381746145,0.18969681259437332,-0.22001916872888327,-0.014621704831735638,-0.13945242929763402,0.09175180432825858
Guard-Gen-8B,12,0.34285714285714286,0.04044012465357823,0.2007478343077156,0.1809017680050684,-0.08853879459923264,0.04456134684331514,0.11387332697863939,0.1042326290679908,-0.12209654047347507,-0.028533501898468705,-0.05948753285236763,0.05874071115676549
Guard-Gen-8B,13,0.37142857142857144,0.05018627863839198,0.1898864310469528,0.16093896378892858,-0.1366088455391612,0.09078908793146079,0.06345393508220432,0.19765179219956153,-0.067016603533113,0.10445074218427819,-0.21477320592206794,0.11309048914509068
Guard-Gen-8B,14,0.4,0.06726914801058115,0.15606377603832422,0.2306589307266006,0.03892761289568347,0.15064411083509355,-0.054145924579291904,0.18946826113536996,-0.11751166067842034,-0.021742283090931513,-0.04122607311668092,0.1415547299402643
Guard-Gen-8B,15,0.42857142857142855,0.040466138848150215,0.1723790574419244,0.11120608166787804,-0.07427361101701635,0.15002126673737648,-0.025778739755982993,0.09070869253905234,-0.023928136357440177,-0.00795612025716741,-0.11024042524744404,0.12252332273049693
Guard-Gen-8B,16,0.45714285714285713,0.0013375528724314024,0.19223580755729253,0.210273179041371,-0.015514082601682189,0.05498011980095041,0.04472098474302488,0.17603168302640293,-0.20422102155279975,-0.04727499849173289,-0.40581308407584427,0.007956941277573182
Guard-Gen-8B,17,0.4857142857142857,0.026984530533533425,0.16588431006045767,0.20258160620464494,-0.022044995118944755,0.11823425626438844,-0.058989028458793724,0.04628048791412098,-0.09733549770525407,-0.08979927780413655,-0.09993235347719498,0.10496579745621393
Guard-Gen-8B,18,0.5142857142857142,0.016608226063142984,0.14904061738595453,0.15393953741681354,-0.18521615716148432,0.08081926637396697,-0.003895028937871192,0.11639389937387412,-0.02623499738255486,0.09043611400763996,-0.037542549716830464,-0.17165844072782854
Guard-Gen-8B,19,0.5428571428571428,-0.024689196877466436,0.08681349306001884,0.17194604117412915,0.0329324201177148,-0.192708301748036,-0.023695197770879695,0.04918402510393993,-0.40598155574294004,0.0259370315399875,-0.06491203904741827,0.07359211453902215
Guard-Gen-8B,20,0.5714285714285714,-0.00202159187476002,0.12473645410012113,0.1999869561868446,0.014623115513021312,-0.2813969350583727,-0.02713802410833277,0.11417740215504069,-0.2992427732056433,0.049377352425091,-0.026010024793325037,0.1106705580381393
Guard-Gen-8B,21,0.6,-0.023517426849092315,0.08332591973000913,0.13858359004354803,-0.033987676981632076,0.08319888230309891,-0.1154932373953339,0.09157640526759014,-0.179378953840315,-0.06321572754506288,-0.3337409800726978,0.09395751000007857
Guard-Gen-8B,22,0.6285714285714286,-0.06466239441088559,0.14959724235261818,0.15728462195870563,-0.071425433955292,0.0434219100103741,0.06252833877841035,-0.1349625305066613,-0.10934009112857934,0.040475195543998144,-0.6667164479041061,-0.11748674925810065
Guard-Gen-8B,23,0.6571428571428571,-0.3308120298821951,-0.011721296774912071,0.08452794332775804,-0.8850244773522173,0.021006814216393055,-0.3039570481586542,-0.14972766281559968,-1.0605243722408089,-0.23632352631921694,-0.6190719349321088,-0.14730473777246011
Guard-Gen-8B,24,0.6857142857142857,-0.3076141126665509,-0.004401956457586564,0.05171134310447789,-1.1513177255634686,-0.16949753695931213,-0.07131293820976436,-0.4160811959148645,-0.25811816554122746,-0.17879412072133016,-0.6195281304070108,-0.2588006999950756
Guard-Gen-8B,25,0.7142857142857143,-0.4745201617200544,-0.3792306439949076,-0.27261048938730914,-1.1542739835825175,-0.26915088792393815,-0.3759832925292379,-0.08413812678624577,-0.9678349521815979,-0.44384998686258714,-0.5476380286388198,-0.25049122531305357
Guard-Gen-8B,26,0.7428571428571429,-0.5069134382743118,-0.07842061649183218,-0.013419742183947037,-0.3156697551207426,-0.13663727929651892,-0.6273592702034705,-0.6222966232188549,-1.2745890415934524,-0.7664294054445171,-0.4929003223815136,-0.7414123268081447
Guard-Gen-8B,27,0.7714285714285715,-0.5462307848817632,-0.2811611749782339,-0.3596327664097356,-0.8257443060801224,-0.5953009847277857,-0.2568840096198779,-0.4836174662738566,-0.6205648760210603,-0.5675156662864722,-0.8321449958768097,-0.6397416025433107
