model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
Qwen3-32B,ReSo-shuffle,FLAMES,flames,Alignment,Harmless score,63.5117,63.51,flames/qwen3-32b/qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_score.jsonl,,,,,0.27903739975444314,,,,,,,,,,,,,
Qwen3-32B,Base,MoReBench,morebench,Alignment,Overall,65.6,65.6,morebench/qwen3-32b/morebench_qwen3-32b.json,,,,,,,,,,,,,,,,,,500
Qwen3-32B,DPO,MoReBench,morebench,Alignment,Overall,67.9,67.9,morebench/qwen3-32b/morebench_dpo-qwen3-32b-2026-07-27-16-36_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-32B,ReSo,MoReBench,morebench,Alignment,Overall,65.9,65.9,morebench/qwen3-32b/morebench_qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-32B,ReSo-shuffle,MoReBench,morebench,Alignment,Overall,65.6,65.6,morebench/qwen3-32b/morebench_qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-32B,Base,HaluEval,halueval,Capability,Accuracy,0.7041,70.41,halueval_reparse.csv,30000,0.9976,0.7024,,,,,,,,,,,,,,,
Qwen3-32B,DPO,HaluEval,halueval,Capability,Accuracy,0.7075,70.75,halueval_reparse.csv,30000,0.9981,0.7061,,,,,,,,,,,,,,,
Qwen3-32B,ReSo,HaluEval,halueval,Capability,Accuracy,0.7064,70.64,halueval_reparse.csv,30000,0.9975,0.7046,,,,,,,,,,,,,,,
Qwen3-32B,ReSo-shuffle,HaluEval,halueval,Capability,Accuracy,0.7059,70.59,halueval_reparse.csv,30000,0.9974,0.704,,,,,,,,,,,,,,,
Qwen3-32B,Base,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.7169,71.69,mmlu-pro/qwen3-32b/summary/Qwen3-32B-CoT-all_07-13_12-41_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-32B,DPO,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.6978,69.78,mmlu-pro/qwen3-32b/summary/dpo-qwen3-32b-2026-07-27-16-36_best-CoT-all_07-28_13-02_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-32B,ReSo,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.6982,69.82,mmlu-pro/qwen3-32b/summary/qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best-CoT-all_07-28_13-11_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-32B,ReSo-shuffle,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.6983,69.83,mmlu-pro/qwen3-32b/summary/qwen3-32b-reso-beta-1-shuffle-1-2026-07-28-09-33_best-CoT-all_07-28_13-20_summary.json,24064,,,,,,,,,,,,,,,,,
